MLSNumber,Address,ListOfficeName,ListAgentName
DENC518086,2615 Pecksniff Rd,Patterson-Schwartz-Middletown,Dianne Platt
DENC518982,4938 S Tupelo Turn,"Long & Foster Real Estate, Inc.",Andrew White
DENC512992,15 Kristina Ct,"Long & Foster Real Estate, Inc.",Diane W Bacigalupi
DENC512104,3251 Champions Dr,"Long & Foster Real Estate, Inc.",Barbara Carpenter
DENC503480,3706 Lafayette St,Meyer & Meyer Realty,Peggy Cushing
DENC501458,3425 Cranston Ave,Patterson-Schwartz-Newark,Angela Allen
DENC495076,2409 E Parris Dr,"Long & Foster Real Estate, Inc.",Stephen J Mottola
DENC506356,1802 Fenpor Ave,Keller Williams Real Estate - Newark,Stephen Freebery
DENC524092,4309 Birch Cir,RE/MAX Edge,David E Blume
DENC523094,5822 Pepper Ridge Ct,Patterson-Schwartz-Middletown,Gerard Mahotiere
DENC501750,3220 Champions Dr,Patterson-Schwartz-Newark,David M Landon
DENC505216,424 Centerville Rd,Patterson-Schwartz-Hockessin,Diane W Vallone
DENC500680,3420 Cranston Ave,BHHS Fox & Roach - Hockessin,Steve Larrimore
DENC521992,3 Carolina Ct,BHHS Fox & Roach - Hockessin,Brian D. Foraker
DENC523212,3411 Haley Ct,BHHS Fox & Roach - Hockessin,Jennifer Idell
DENC512816,4940 Mermaid Blvd,"Long & Foster Real Estate, Inc.",Ashle Wilson Bailey
DENC510414,1108 Braken Ave,Patterson-Schwartz-Newark,Ryan Dill
DENC517606,5099 W Woodmill Dr,Century 21 Gold Key Realty,Robert Damiano
DENC508042,4936 Tupelo Turn,Patterson-Schwartz - Greenville,Laurence Lee
DENC500644,5059 E Woodmill Dr,Patterson-Schwartz-Hockessin,Shana Delcollo
DENC522324,5018 E Woodmill Dr,Keller Williams Real Estate - Newark,Phillip C Hibbard
DENC519198,4976 Mermaid Blvd,RE/MAX Associates-Wilmington,Michael DiFonzo
DENC507636,5417 Jenmatt Dr,"Tesla Realty Group, LLC",Larry C Duan
DENC509542,5409 Jenmatt Dr,BHHS Fox & Roach-Kennett Sq,George P Plumley Jr.
DENC505724,3010 Charing Cross,BHHS Fox & Roach - Hockessin,Mari A Clancy
DENC505084,2004 Louisa Ave,BHHS Fox & Roach-Christiana,Debbie Gawel
DENC523372,5026 N Tupelo Turn,Compass,Andrea L Harrington
DENC520810,11 Kristina Ct,"Long & Foster Real Estate, Inc.",Joann M Baldridge
DENC509390,1902 Lincoln Ave.,BHHS Fox & Roach - Hockessin,Rhonda Shin
DENC499486,1118 Braken Ave,Patterson-Schwartz-Hockessin,Peggy Centrella
DENC511264,3221 Brookline Rd,RE/MAX Edge,Carl D Wahlig
DENC502798,1114 Braken Ave,RE/MAX Elite,Travis L Dorman
DENC521912,2309 Katherine Ave,Meyer & Meyer Realty,Peter Meyer
DENC507666,1223 Gilbert Ave,Patterson-Schwartz - Greenville,Joseph B Nestor
DENC503534,5405 Doral Dr,Patterson-Schwartz-Hockessin,Daniel Logan
DENC501980,4613 Springers Ln,RE/MAX Associates-Hockessin,Andrew Mulrine IV
DENC501462,2006 Duncan Rd,Coldwell Banker Chesapeake Real Estate Company,Jason M Zang
DENC507686,3818 Evelyn Dr,Patterson-Schwartz-Hockessin,S. Brian Hadley
DENC508130,1522 Braken Ave,Century 21 Gold Key Realty,Paula A Boulden
DENC507822,3813 Evelyn Dr,BHHS Fox & Roach-Christiana,Masood Sadiq
DENC520716,3235 Brookline Rd,RE/MAX Elite,Travis L Dorman
DENC512480,3419 Pebble Beach Dr,"Long & Foster Real Estate, Inc.",Corey J Harris
DENC497602,4917 Hogan Dr,Patterson-Schwartz-Hockessin,S. Brian Hadley
DENC511338,3214 Champions Dr,Non Subscribing Office,Non Member
DENC510466,1009 Highland Ave,RE/MAX Associates - Newark,Flossie R Pinson
DENC524506,10 Kristina Ct,Compass,Andrea L Harrington
DENC523362,2406 Duncan Rd,Patterson-Schwartz-Hockessin,Shana Delcollo
DENC521672,2411 Hammond Pl,RE/MAX Eagle Realty,Desiderio J Rivera
DENC509908,2218 Alister Dr,BHHS Fox & Roach-Christiana,Gloria Alderman
