MLSNumber,Address,Category,City,State,Zip_Code,County,MLSArea,Subdivision,School_District,Schools-Elementary,Schools-Middle,Schools-HighSchool
DENC518086,2615 Pecksniff Rd,RES,Wilmingon,DE,19808,NEWCASTLEDE,30903.0,SHERWOOD PARK II,Red Clay Consolidated,,,
DENC518982,4938 S Tupelo Turn,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,PEPPER RIDGE,Red Clay Consolidated,,,
DENC512992,15 Kristina Ct,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WOODMILL,Red Clay Consolidated,,,
DENC512104,3251 Champions Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,FAIRWAY FALLS,Red Clay Consolidated,,,
DENC503480,3706 Lafayette St,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WASHINGTON HEIGHTS,Red Clay Consolidated,,,
DENC501458,3425 Cranston Ave,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,CRANSTON HEIGHTS,Red Clay Consolidated,,,
DENC495076,2409 E Parris Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,CEDARCREST,Red Clay Consolidated,,,
DENC506356,1802 Fenpor Ave,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WASHINGTON HEIGHTS,Red Clay Consolidated,,,
DENC524092,4309 Birch Cir,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,BIRCH POINTE,Red Clay Consolidated,Linden Hill,Skyline,Dickinson
DENC523094,5822 Pepper Ridge Ct,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,PEPPER RIDGE,Red Clay Consolidated,,,
DENC501750,3220 Champions Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson
DENC505216,424 Centerville Rd,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,BROOKLAND TERRACE,Red Clay Consolidated,,,
DENC500680,3420 Cranston Ave,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,CRANSTON HEIGHTS,Red Clay Consolidated,Marbrook,Alexis I. Du Pont,Mckean
DENC521992,3 Carolina Ct,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WOODMILL,Red Clay Consolidated,,,
DENC523212,3411 Haley Ct,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,BIRCH POINTE,Red Clay Consolidated,,,
DENC512816,4940 Mermaid Blvd,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,PEPPER RIDGE,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson
DENC510414,1108 Braken Ave,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,BERKSHIRE,Red Clay Consolidated,,,
DENC517606,5099 W Woodmill Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WOODMILL,Red Clay Consolidated,,,
DENC508042,4936 Tupelo Turn,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,PEPPER RIDGE,Red Clay Consolidated,Linden Hil,Skyline,Dickinson
DENC500644,5059 E Woodmill Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WOODMILL,Red Clay Consolidated,,,
DENC522324,5018 E Woodmill Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WOODMILL,Red Clay Consolidated,Heritage,Skyline,Dickinson
DENC519198,4976 Mermaid Blvd,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,PEPPER RIDGE,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson
DENC507636,5417 Jenmatt Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,LINDEN HILL SQUARE,Red Clay Consolidated,Linden Hill,Skyline,Dickinson
DENC509542,5409 Jenmatt Dr,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,LINDEN HILL SQUARE,Red Clay Consolidated,,,
DENC505724,3010 Charing Cross,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,BERKSHIRE,Red Clay Consolidated,,,
DENC505084,2004 Louisa Ave,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,EASTBURN ACRES,Red Clay Consolidated,,,
DENC523372,5026 N Tupelo Turn,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,PEPPER RIDGE,Red Clay Consolidated,,,
DENC520810,11 Kristina Ct,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,WOODMILL,Red Clay Consolidated,,,
DENC509390,1902 Lincoln Ave.,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,CRANSTON HEIGHTS,Red Clay Consolidated,,,
DENC499486,1118 Braken Ave,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,BERKSHIRE,Red Clay Consolidated,,,
DENC511264,3221 Brookline Rd,RES,Wilmington,DE,19808,NEWCASTLEDE,30903.0,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson
