MLSNumber,Address,Category,StreetNumber,StreetName,UnitNumber,CrossStreet,FloorNumber,City,State,Zip Code,County,MLSArea,Township,Subdivision,School District,Schools-Elementary,Schools-Middle,Schools-HighSchool,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,OriginatingMLS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518086,2615 Pecksniff Rd,RES,2615,Pecksniff,,,,Wilmingon,DE,19808,NEWCASTLEDE,30903,,SHERWOOD PARK II,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$15 ,Annually,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518982,4938 S Tupelo Turn,RES,4938,Tupelo,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512992,15 Kristina Ct,RES,15,Kristina,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512104,3251 Champions Dr,RES,3251,Champions,,Doral Dr,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503480,3706 Lafayette St,RES,3706,Lafayette,,Greenbank Rd,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WASHINGTON HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501458,3425 Cranston Ave,RES,3425,Cranston,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CRANSTON HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC495076,2409 E Parris Dr,RES,2409,Parris,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CEDARCREST,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506356,1802 Fenpor Ave,RES,1802,Fenpor,,Kiamensi Ave,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WASHINGTON HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524092,4309 Birch Cir,RES,4309,Birch,,,2,Wilmington,DE,19808,NEWCASTLEDE,30903,,BIRCH POINTE,Red Clay Consolidated,Linden Hill,Skyline,Dickinson,Condominium,No,Yes,No,,,Penthouse Unit/Flat/Apartment,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523094,5822 Pepper Ridge Ct,RES,5822,Pepper Ridge,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501750,3220 Champions Dr,RES,3220,Champions,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505216,424 Centerville Rd,RES,424,Centerville,,Rhode Island,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BROOKLAND TERRACE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500680,3420 Cranston Ave,RES,3420,Cranston,,Lincoln Ave,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CRANSTON HEIGHTS,Red Clay Consolidated,Marbrook,Alexis I. Du Pont,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521992,3 Carolina Ct,RES,3,Carolina,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$25 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523212,3411 Haley Ct,RES,3411,Haley,,,2,Wilmington,DE,19808,NEWCASTLEDE,30903,,BIRCH POINTE,Red Clay Consolidated,,,,FeeSimple,No,Yes,No,,,Unit/Flat/Apartment,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512816,4940 Mermaid Blvd,RES,4940,Mermaid,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$40 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510414,1108 Braken Ave,RES,1108,Braken Ave,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BERKSHIRE,Red Clay Consolidated,,,,Condominium,No,Yes,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517606,5099 W Woodmill Dr,RES,5099,Woodmill,,Woodmill,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508042,4936 Tupelo Turn,RES,4936,Tupelo,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,Linden Hil,Skyline,Dickinson,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500644,5059 E Woodmill Dr,RES,5059,Woodmill,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522324,5018 E Woodmill Dr,RES,5018,Woodmill,,Woodmill Dr,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,Yes,$40 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC519198,4976 Mermaid Blvd,RES,4976,Mermaid,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507636,5417 Jenmatt Dr,RES,5417,Jenmatt,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LINDEN HILL SQUARE,Red Clay Consolidated,Linden Hill,Skyline,Dickinson,FeeSimple,No,No,Yes,$50 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509542,5409 Jenmatt Dr,RES,5409,Jenmatt,,Fairmont Drive,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LINDEN HILL SQUARE,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$55 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505724,3010 Charing Cross,RES,3010,Charing Cross,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BERKSHIRE,Red Clay Consolidated,,,,FeeSimple,No,Yes,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505084,2004 Louisa Ave,RES,2004,Louisa,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,EASTBURN ACRES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523372,5026 N Tupelo Turn,RES,5026,Tupelo,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,PEPPER RIDGE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520810,11 Kristina Ct,RES,11,Kristina,,East Woodmill,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509390,1902 Lincoln Ave.,RES,1902,Lincoln Ave.,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CRANSTON HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC499486,1118 Braken Ave,RES,1118,Braken,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,BERKSHIRE,Red Clay Consolidated,,,,Condominium,No,Yes,No,,,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511264,3221 Brookline Rd,RES,3221,Brookline,,Champions,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$60 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC502798,1114 Braken Ave,RES,1114,Braken,,,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,BERKSHIRE,Red Clay Consolidated,,,,Condominium,No,Yes,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521912,2309 Katherine Ave,RES,2309,Katherine,,Dunlinden drive,,Wilmington,DE,19808,NEWCASTLEDE,30903,,DUNLINDEN ACRES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507666,1223 Gilbert Ave,RES,1223,Gilbert,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CAPITAL TR FMS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503534,5405 Doral Dr,RES,5405,Doral,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,,,FeeSimple,No,No,Yes,$65 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501980,4613 Springers Ln,RES,4613,Springers,,Pickwick Drive,,Wilmington,DE,19808,NEWCASTLEDE,30903,,LIMESTONE ACRES,Red Clay Consolidated,Heritage,Skyline,Dickinson,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501462,2006 Duncan Rd,RES,2006,Duncan,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NONE AVAILABLE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507686,3818 Evelyn Dr,RES,3818,Evelyn,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,DUNLINDEN ACRES,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508130,1522 Braken Ave,RES,1522,Braken,,Ocheltree,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,BERKSHIRE LIMESTON,Red Clay Consolidated,,,,FeeSimple,No,Yes,Yes,$275 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC507822,3813 Evelyn Dr,RES,3813,Evelyn,,Duncan Road,1,Wilmington,DE,19808,NEWCASTLEDE,30903,,DUNLINDEN ACRES,Red Clay Consolidated,Anna P. Mote,Stanton,Mckean,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520716,3235 Brookline Rd,RES,3235,Brookline,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,Linden Hill,Skyline,John Dickinson,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512480,3419 Pebble Beach Dr,RES,3419,Pebble Beach,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC497602,4917 Hogan Dr,RES,4917,Hogan,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,VILLAGE OF PLUM RU,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Interior Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC511338,3214 Champions Dr,RES,3214,Champions,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,FAIRWAY FALLS,Red Clay Consolidated,,,,FeeSimple,No,No,Yes,$50 ,Annually,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510466,1009 Highland Ave,RES,1009,Highland,,Delaware Ave,,Wilmington,DE,19808,NEWCASTLEDE,30903,,CAPITAL TR FMS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524506,10 Kristina Ct,RES,10,Kristina,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523362,2406 Duncan Rd,RES,2406,Duncan,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,NONE AVAILABLE,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521672,2411 Hammond Pl,RES,2411,Hammond,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,KIRKWOOD GARDENS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC509908,2218 Alister Dr,RES,2218,Alister,,,,Wilmington,DE,19808,NEWCASTLEDE,30902,,FAULKLAND HEIGHTS,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,Detached,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC520624,22 Ingrid Ct,RES,22,Ingrid,,,,Wilmington,DE,19808,NEWCASTLEDE,30903,,WOODMILL,Red Clay Consolidated,,,,FeeSimple,No,No,No,,,End of Row/Townhouse,BRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
