MLSNumber,Address,BuildingName,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,AssociationFee,AssociationFeeFrequency,Structure Type ,Acres,LotDimensions,LotDescription,FeeIncludes,Age,InteriorSqFt,Interior SqFt Source,AboveGradeSqFt,BelowGradeSqFt,PropertyCondition,Bedrooms,Baths,BathsFull,PartialBaths,Design,Style,NumberofStories,RoomCount,InteriorFeatures,Flooring,Central Air YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,ElectricalSystem,Water,Sewer,Fireplace YN,FireplaceCount,FireplaceFeatures,KitchenAppliancesFeatures,CookingFuel,Other Rooms,LaundryHookUps,Basement YN,BasementType,BasementDescription,BasementFootprintPct,BasementFinishedPct,Garage YN,GarageSpaces,GarageFeatures,Parking,ExteriorFeatures,ExteriorMaterial,Main Roof,Foundation,PorchDeck,SwimmingPoolType,OtherStructures
DENC518086,2615 Pecksniff Rd,NONE AVAILABLE,FeeSimple,No,No,Yes,$15 ,Annually,Detached,0.26,,"Landscaping,Level",,1958,2099,Estimated,2099,0,,4,2,1,1,Two,SplitLevel,"Main,Upper1",8,,Hardwood,Yes,CentralAC,"Electric,NaturalGas",BaseboardElectric,NaturalGas,,Public,PublicSewer,,,,,,,,Yes,Unfinished,Unfinished,,,Yes,1,,,"ExtensiveHardscape,Sidewalks,StoneRetainingWalls,StreetLights","BrickFront,VinylSiding",ArchitecturalShingle,,"Patios,Porches",,
DENC518982,4938 S Tupelo Turn,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.06,16.20 x 126.20,,,1976,1927,Assessor,1575,352,Average,3,2,1,1,Two,Other,"Main,Upper1",,,,Yes,CentralAC,Oil,ForcedAir,Electric,,Public,PublicSewer,Yes,0,,Refrigerator,Refrigerator,,"Hookup,UpprFlrLndry",Yes,"Full,FullyFinished","Full,FullyFinished",,,No,,,,,"AluminumSiding,Brick,VinylSiding",Asphalt,,,,
DENC512992,15 Kristina Ct,,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.05,20.00 x 105.00,,,1985,1150,Assessor,1150,0,,2,2,1,1,Two,Colonial,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSeptic,,0,,,,,,Yes,"Full,PartiallyFinished","Full,PartiallyFinished",,,No,,,,,VinylSiding,,,,,
DENC512104,3251 Champions Dr,,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,0.05,16.00 x 125.00,,,1985,1425,Assessor,1425,0,Good,2,3,2,1,Two,Contemporary,"Main,Upper1",,Carpet,"Carpet,CeramicTile",Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,Yes,1,Wood,"Dryer, Oven/Range - Electric, Refrigerator, Washer","Dryer, Oven/Range - Electric, Refrigerator, Washer",,UpprFlrLndry,Yes,Full,Full,,,Yes,1,,,,Other,Shingle,,Patios,,
DENC503480,3706 Lafayette St,,FeeSimple,No,No,No,,,Detached,0.17,53.00 x 144.50,,,1957,925,Assessor,925,0,VeryGood,3,2,1,1,One,Rancher,Main,,"Carpet,CeilngFans,KitchenEatIn",Hardwood,Yes,CentralAC,Oil,Radiator,,,Public,PublicSewer,No,0,,"Dishwasher, Dryer, Oven/Range - Electric, Range Hood, Refrigerator, Washer, Water Heater","Dishwasher, Dryer, Oven/Range - Electric, Range Hood, Refrigerator, Washer, Water Heater",,BsmtLaundry,Yes,Full,Full,,,No,,,,,Asbestos,,,,,
DENC501458,3425 Cranston Ave,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.07,50 x 75,,,1932,1225,Assessor,1225,0,,3,2,2,,OneandaHalf,Bungalow,"Lower1,Main,Upper1",,,,No,None,Oil,Radiator,,"100AmpService,CircuitBreakers",Public,PublicSewer,No,,,,,,,Yes,"InteriorAccess,OutsideEntrance,SumpPump,Unfinished","InteriorAccess,OutsideEntrance,SumpPump,Unfinished",,,Yes,1,,,Other,Brick,,,,,
DENC495076,2409 E Parris Dr,,FeeSimple,No,No,No,,,Detached,0.21,57.90 x 127.90,,,1964,1550,Assessor,1550,0,,3,2,1,1,One,Rancher,"Lower1,Main",,"FloorPlanTraditional,KitchenEatIn,WoodFloors",Hardwood,Yes,CentralAC,NaturalGas,ForcedAir,,,Public,PublicSewer,Yes,1,GasPropane,,,,,Yes,Full,Full,,,Yes,1,,,,Brick,,,,,
DENC506356,1802 Fenpor Ave,,FeeSimple,No,No,No,,,Detached,0.14,50.00 x 118.00,,,1954,0,Assessor,0,0,,4,3,2,1,OneandaHalf,CapeCod,"Lower1,Main,Upper1",8,"Attic,BuiltIns,CeilngFans,EntryLevBedrm,FloorPlanTraditional,KitchTableSpce,TubShower,WindowTreatments,WoodFloors","Hardwood,TileBrick,Vinyl",No,WindowUnits,NaturalGas,ForcedAir,NaturalGas,"200PlusAmpService,220Volts,CircuitBreakers",Public,PublicSewer,No,0,,"Built-In Range, Dishwasher, Dryer - Electric, Exhaust Fan, Oven/Range - Gas, Range Hood, Refrigerator, Washer, Water Heater","Built-In Range, Dishwasher, Dryer - Electric, Exhaust Fan, Oven/Range - Gas, Range Hood, Refrigerator, Washer, Water Heater",,BsmtLaundry,Yes,"Full,Improved,InteriorAccess,SpaceForRooms,WalkoutLevel,Windows,Workshop","Full,Improved,InteriorAccess,SpaceForRooms,WalkoutLevel,Windows,Workshop",,,Yes,2,AsphaltDriveway,AsphaltDriveway,"ExteriorLighting,Sidewalks,StreetLights","Concrete,Stucco","ArchitecturalShingle,Pitched",,,,
DENC524092,4309 Birch Cir,,Condominium,No,Yes,No,,,Penthouse Unit/Flat/Apartment,,0.00 x 0.00,,"CommonAreaMaint,ExtBldgMaint,LawnMaintenance,RoadMaint,Sewer,SnowRemoval,Trash,Water",1985,0,Assessor,0,0,,2,2,2,,Two,Contemporary,"Main,Upper1",,,,Yes,CentralAC,Electric,HeatPumps,Electric,,Public,PublicSewer,Yes,1,,,,,,No,,,,,No,,,,,Other,,,,,
DENC523094,5822 Pepper Ridge Ct,NONE AVAILABLE,FeeSimple,No,No,No,,,Interior Row/Townhouse,0.04,16x118,,,1979,1975,Estimated,1575,400,,2,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,,,Yes,CentralAC,Oil,ForcedAir,Electric,CircuitBreakers,Public,NoSepticSystem,,,,,,,,Yes,FullyFinished,FullyFinished,,,No,,,,Sidewalks,Brick,,,,,
DENC501750,3220 Champions Dr,NONE AVAILABLE,FeeSimple,No,No,Yes,$50 ,Annually,Interior Row/Townhouse,0.06,,TreesWooded,,1986,1875,Estimated,1609,266,,2,3,2,1,Two,Contemporary,"Main,Upper1",,"CeilngFans,FormalSeparateDiningRoom,WoodFloors","Carpet,CeramicTile,Hardwood,Laminated",Yes,"CentralAC,HeatPumps",Electric,HeatPumpElectricBackUp,Electric,CircuitBreakers,Public,PublicSewer,Yes,1,Wood,"Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Range Hood, Refrigerator, Washer, Water Heater","Dishwasher, Disposal, Dryer, Microwave, Oven/Range - Electric, Range Hood, Refrigerator, Washer, Water Heater",,BsmtLaundry,Yes,"OutsideEntrance,PartiallyFinished","OutsideEntrance,PartiallyFinished",,,No,,Assigned,Assigned,Sidewalks,VinylSiding,,Block,"Decks,Patios",,
DENC505216,424 Centerville Rd,NONE AVAILABLE,FeeSimple,No,No,No,,,Detached,0.2,100 x 88,Level,,1946,1676,Assessor,1100,576,,3,1,1,,Two,CapeCod,Main,6,"Attic,TubShower,WoodFloors",,No,WindowUnits,Oil,BaseboardHotWater,NaturalGas,CircuitBreakers,Public,PublicSewer,Yes,1,Stone,"Dishwasher, Dryer, Range Hood, Refrigerator, Stainless Steel Appliances, Stove, Washer, Water Heater","Dishwasher, Dryer, Range Hood, Refrigerator, Stainless Steel Appliances, Stove, Washer, Water Heater",,BsmtLaundry,Yes,Unfinished,Unfinished,,,Yes,1,PavedParking,PavedParking,StreetLights,"AluminumSiding,Stone",,Block,,,
