MLSNumber,Address,Status,SoldPrice,OriginalPrice,CurrentPrice,Last List Price,DOM,PMP,ListDate,StatusDate,Agreement of Sale/Signed Lease Date,SettledDate,Concessions YN,Concessions Remarks,SellerConcessionsAmount,FinalFinancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518086,2615 Pecksniff Rd,Closed,"$335,000 ","$330,000 ","$330,000 ",,5,5,12/11/20,2/11/21,12/16/20,2/11/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC518982,4938 S Tupelo Turn,Closed,"$200,000 ","$215,500 ","$210,000 ","$215,500 ",47,67,1/7/21,4/8/21,2/21/21,4/8/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512992,15 Kristina Ct,Closed,"$200,000 ","$200,000 ","$200,000 ",,15,15,12/28/20,2/26/21,1/9/21,2/26/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512104,3251 Champions Dr,Closed,"$200,000 ","$219,900 ","$214,900 ","$219,900 ",11,11,10/27/20,12/14/20,11/5/20,12/11/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC503480,3706 Lafayette St,Closed,"$200,000 ","$190,000 ","$190,000 ",,3,3,6/20/20,8/2/20,6/21/20,7/31/20,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501458,3425 Cranston Ave,Closed,"$200,000 ","$199,000 ","$200,000 ","$196,000 ",23,23,5/17/20,7/20/20,6/8/20,7/17/20,Yes,settlement assistance,"$1,500 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC495076,2409 E Parris Dr,Closed,"$200,000 ","$229,900 ","$229,900 ",,1,1,2/13/20,7/13/20,2/13/20,6/30/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC506356,1802 Fenpor Ave,Closed,"$201,000 ","$195,000 ","$201,000 ","$195,000 ",5,5,8/2/20,9/25/20,8/6/20,9/25/20,Yes,Seller Assist,"$6,030 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC524092,4309 Birch Cir,Closed,"$204,500 ","$190,000 ","$190,000 ",,5,5,4/8/21,5/11/21,4/12/21,5/11/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523094,5822 Pepper Ridge Ct,Closed,"$205,000 ","$199,875 ","$199,875 ",,1,1,3/19/21,5/3/21,3/23/21,4/30/21,Yes,seller credit,"$6,150 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC501750,3220 Champions Dr,Closed,"$205,000 ","$214,900 ","$212,500 ","$214,900 ",47,47,5/21/20,8/18/20,7/2/20,8/17/20,Yes,Settlement Assistance,"$3,750 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC505216,424 Centerville Rd,Closed,"$205,900 ","$205,900 ","$205,900 ",,7,7,7/15/20,9/14/20,7/21/20,9/10/20,Yes,,"$6,177 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500680,3420 Cranston Ave,Closed,"$208,000 ","$211,900 ","$211,900 ",,8,8,5/5/20,7/24/20,5/10/20,7/24/20,Yes,,"$6,360 ",FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC521992,3 Carolina Ct,Closed,"$208,700 ","$200,000 ","$200,000 ",,6,6,3/10/21,4/20/21,3/14/21,4/20/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC523212,3411 Haley Ct,Closed,"$209,901 ","$197,900 ","$197,900 ",,7,7,3/26/21,5/20/21,3/31/21,5/20/21,Yes,,"$1,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC512816,4940 Mermaid Blvd,Closed,"$210,000 ","$224,900 ","$214,900 ","$219,900 ",44,44,11/9/20,2/12/21,1/7/21,2/12/21,Yes,,"$5,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC510414,1108 Braken Ave,Closed,"$210,000 ","$214,900 ","$214,900 ",,28,392,10/1/20,11/23/20,10/27/20,11/20/20,No,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC517606,5099 W Woodmill Dr,Closed,"$210,700 ","$210,000 ","$210,000 ",,12,12,12/3/20,2/15/21,12/14/20,2/15/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC508042,4936 Tupelo Turn,Closed,"$215,000 ","$224,900 ","$219,900 ","$224,900 ",64,64,8/30/20,12/28/20,11/2/20,12/23/20,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC500644,5059 E Woodmill Dr,Closed,"$215,000 ","$214,900 ","$214,900 ",,4,4,5/5/20,7/24/20,5/8/20,7/24/20,Yes,,"$3,000 ",Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC522324,5018 E Woodmill Dr,Closed,"$217,500 ","$210,000 ","$210,000 ",,7,7,3/17/21,4/29/21,3/22/21,4/29/21,No,,,Conventional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENC519198,4976 Mermaid Blvd,Closed,"$218,000 ","$212,900 ","$212,900 ",,3,3,1/11/21,2/19/21,1/13/21,2/19/21,No,,,FHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
