MLSNumber,Address,Status,Sold_Price,Sold_Price_less_Concession,Orig_List_Price,Current_List_Price,Days_on_Market,Previous_Days_on_Market,ListDate,StatusDate,Agreement_of_Sale_Date,SettledDate,Concessions_YN,Concessions_Remarks,SellerConcessionsAmount,FinalFinancing
DENC518086,2615 Pecksniff Rd,Closed,335000.0,335000.0,330000.0,330000.0,5.0,5.0,2020-12-11,2021-02-11,2020-12-16,2021-02-11,No,,0.0,FHA
DENC518982,4938 S Tupelo Turn,Closed,200000.0,200000.0,215500.0,210000.0,47.0,67.0,2021-01-07,2021-04-08,2021-02-21,2021-04-08,No,,0.0,Conventional
DENC512992,15 Kristina Ct,Closed,200000.0,200000.0,200000.0,200000.0,15.0,15.0,2020-12-28,2021-02-26,2021-01-09,2021-02-26,No,,0.0,Conventional
DENC512104,3251 Champions Dr,Closed,200000.0,200000.0,219900.0,214900.0,11.0,11.0,2020-10-27,2020-12-14,2020-11-05,2020-12-11,No,,0.0,Conventional
DENC503480,3706 Lafayette St,Closed,200000.0,200000.0,190000.0,190000.0,3.0,3.0,2020-06-20,2020-08-02,2020-06-21,2020-07-31,No,,0.0,Conventional
DENC501458,3425 Cranston Ave,Closed,200000.0,198500.0,199000.0,200000.0,23.0,23.0,2020-05-17,2020-07-20,2020-06-08,2020-07-17,Yes,settlement assistance,1500.0,FHA
DENC495076,2409 E Parris Dr,Closed,200000.0,200000.0,229900.0,229900.0,1.0,1.0,2020-02-13,2020-07-13,2020-02-13,2020-06-30,No,,0.0,Cash
DENC506356,1802 Fenpor Ave,Closed,201000.0,194970.0,195000.0,201000.0,5.0,5.0,2020-08-02,2020-09-25,2020-08-06,2020-09-25,Yes,Seller Assist,6030.0,FHA
DENC524092,4309 Birch Cir,Closed,204500.0,204500.0,190000.0,190000.0,5.0,5.0,2021-04-08,2021-05-11,2021-04-12,2021-05-11,No,,0.0,Conventional
DENC523094,5822 Pepper Ridge Ct,Closed,205000.0,198850.0,199875.0,199875.0,1.0,1.0,2021-03-19,2021-05-03,2021-03-23,2021-04-30,Yes,seller credit,6150.0,Conventional
DENC501750,3220 Champions Dr,Closed,205000.0,201250.0,214900.0,212500.0,47.0,47.0,2020-05-21,2020-08-18,2020-07-02,2020-08-17,Yes,Settlement Assistance,3750.0,Conventional
