MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
DENC518086,330000.0,19808,SHERWOOD PARK II,Red Clay Consolidated,Yes,Detached,0.26,2099.0,2099.0,0.0,4.0,2.0,"Main,Upper1",Yes,Public,Yes,Yes,"BrickFront,VinylSiding",1958
DENC518982,215500.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1927.0,1575.0,352.0,3.0,2.0,"Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1976
DENC512992,200000.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1150.0,1150.0,0.0,2.0,2.0,"Main,Upper1",Yes,Public,Yes,No,VinylSiding,1985
DENC512104,219900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1425.0,1425.0,0.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,Yes,Other,1985
DENC506356,195000.0,19808,WASHINGTON HEIGHTS,Red Clay Consolidated,No,Detached,0.14,0.0,0.0,0.0,4.0,3.0,"Lower1,Main,Upper1",No,Public,Yes,Yes,"Concrete,Stucco",1954
DENC523094,199875.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1975.0,1575.0,400.0,2.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,Brick,1976
DENC501750,214900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.06,1875.0,1609.0,266.0,2.0,3.0,"Main,Upper1",Yes,Public,Yes,No,VinylSiding,1986
DENC505216,205900.0,19808,BROOKLAND TERRACE,Red Clay Consolidated,No,Detached,0.2,1676.0,1100.0,576.0,3.0,1.0,Main,No,Public,Yes,Yes,"AluminumSiding,Stone",1940
DENC500680,211900.0,19808,CRANSTON HEIGHTS,Red Clay Consolidated,No,Detached,0.14,1550.0,1550.0,0.0,4.0,2.0,"Main,Upper1",Yes,Public,Yes,No,VinylSiding,1930
DENC521992,200000.0,19808,WOODMILL,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1125.0,1125.0,0.0,2.0,2.0,"Main,Upper1",Yes,Public,Yes,Yes,"AluminumSiding,VinylSiding",1985
DENC523212,197900.0,19808,BIRCH POINTE,Red Clay Consolidated,No,Unit/Flat/Apartment,0.0,0.0,0.0,0.0,2.0,2.0,"Main,Upper1",Yes,Public,No,No,"AluminumSiding,VinylSiding",2008
DENC512816,224900.0,19808,PEPPER RIDGE,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1225.0,1225.0,0.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,Brick,1976
DENC517606,210000.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1685.0,1125.0,560.0,2.0,2.0,"Main,Upper1,Upper2",Yes,Public,Yes,Yes,"AluminumSiding,VinylSiding",1986
DENC508042,224900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,2279.0,1575.0,704.0,3.0,2.0,"Main,Upper1",Yes,Public,Yes,No,"Brick,VinylSiding",1976
DENC500644,214900.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1150.0,1150.0,0.0,2.0,2.0,"Main,Upper1",Yes,Public,Yes,Yes,Block,1985
DENC522324,210000.0,19808,WOODMILL,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1150.0,1150.0,0.0,2.0,2.0,"Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,VinylSiding",1984
DENC519198,212900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.09,1829.0,1525.0,304.0,3.0,3.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1978
DENC507636,219000.0,19808,LINDEN HILL SQUARE,Red Clay Consolidated,Yes,End of Row/Townhouse,0.11,2352.0,1825.0,527.0,3.0,2.0,"Main,Upper1",Yes,Public,Yes,No,"Brick,Stucco",1981
DENC509542,210000.0,19808,LINDEN HILL SQUARE,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.04,1575.0,1225.0,350.0,3.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"Brick,Stucco",1981
DENC505724,219900.0,19808,BERKSHIRE,Red Clay Consolidated,No,Interior Row/Townhouse,0.0,0.0,0.0,0.0,3.0,3.0,"Main,Upper1",Yes,Public,No,Yes,"AluminumSiding,Brick,VinylSiding",1990
DENC505084,219900.0,19808,EASTBURN ACRES,Red Clay Consolidated,No,Detached,0.36,1225.0,1225.0,0.0,4.0,2.0,"Main,Upper1",No,Public,No,Yes,"AluminumSiding,VinylSiding",1981
DENC523372,209900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1927.0,1575.0,352.0,2.0,2.0,"Lower1,Main,Upper1",Yes,Public,Yes,No,"AluminumSiding,Brick,VinylSiding",1978
