Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,NumberofStories,Central_Air_YN,Water,Basement_YN,Garage_YN,ExteriorMaterial,YearBuilt
330000.0,13,461,4,2,1,0.26,2099.0,2099.0,0.0,4.0,2.0,27,2,12,2,2,205,87
215500.0,13,399,4,1,3,0.06,1927.0,1575.0,352.0,3.0,2.0,27,2,12,2,1,43,105
200000.0,13,618,4,1,3,0.05,1150.0,1150.0,0.0,2.0,2.0,27,2,12,2,1,291,114
219900.0,13,190,4,2,3,0.05,1425.0,1425.0,0.0,2.0,3.0,27,2,12,2,2,270,114
195000.0,13,546,4,1,1,0.14,0.0,0.0,0.0,4.0,3.0,12,1,12,2,2,237,83
199875.0,13,399,4,1,3,0.04,1975.0,1575.0,400.0,2.0,3.0,12,2,12,2,1,141,105
214900.0,13,190,4,2,3,0.06,1875.0,1609.0,266.0,2.0,3.0,27,2,12,2,1,291,115
205900.0,13,75,4,1,1,0.2,1676.0,1100.0,576.0,3.0,1.0,26,1,12,2,2,64,69
211900.0,13,142,4,1,1,0.14,1550.0,1550.0,0.0,4.0,2.0,27,2,12,2,1,291,59
200000.0,13,618,4,2,3,0.05,1125.0,1125.0,0.0,2.0,2.0,27,2,12,2,2,69,114
197900.0,13,48,4,1,8,0.0,0.0,0.0,0.0,2.0,2.0,27,2,12,1,1,69,137
224900.0,13,399,4,2,3,0.05,1225.0,1225.0,0.0,3.0,2.0,12,2,12,2,1,141,105
210000.0,13,618,4,1,3,0.07,1685.0,1125.0,560.0,2.0,2.0,28,2,12,2,2,69,115
224900.0,13,399,4,1,3,0.06,2279.0,1575.0,704.0,3.0,2.0,27,2,12,2,1,193,105
214900.0,13,618,4,1,3,0.06,1150.0,1150.0,0.0,2.0,2.0,27,2,12,2,2,110,114
210000.0,13,618,4,2,3,0.05,1150.0,1150.0,0.0,2.0,2.0,27,2,12,2,1,69,113
212900.0,13,399,4,1,3,0.09,1829.0,1525.0,304.0,3.0,3.0,12,2,12,2,1,43,107
