Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,Age,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt
330000.0,19808,SHERWOOD PARK II,Red Clay Consolidated,Yes,Detached,0.26,1958.0,2099.0,2099.0,0.0,4.0,2.0,1.0,Two,SplitLevel,"Main,Upper1",Yes,CentralAC,"Electric,NaturalGas",BaseboardElectric,NaturalGas,Public,PublicSewer,Yes,Yes,"BrickFront,VinylSiding",72.4,133.5,11326,0.26,1958
215500.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1976.0,1927.0,1575.0,352.0,3.0,2.0,1.0,Two,Other,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",16.2,126.2,2614,0.06,1976
200000.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1985.0,1150.0,1150.0,0.0,2.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSeptic,Yes,No,VinylSiding,20.0,105.0,2178,0.05,1985
219900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1985.0,1425.0,1425.0,0.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Other,16.0,125.0,2178,0.05,1985
195000.0,19808,WASHINGTON HEIGHTS,Red Clay Consolidated,No,Detached,0.14,1954.0,0.0,0.0,0.0,4.0,3.0,2.0,OneandaHalf,CapeCod,"Lower1,Main,Upper1",No,WindowUnits,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Concrete,Stucco",50.0,118.0,6098,0.14,1954
199875.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1979.0,1975.0,1575.0,400.0,2.0,3.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,NoSepticSystem,Yes,No,Brick,16.0,118.0,1742,0.04,1976
214900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.06,1986.0,1875.0,1609.0,266.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,"CentralAC,HeatPumps",Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,Yes,No,VinylSiding,16.0,156.6,2614,0.06,1986
205900.0,19808,BROOKLAND TERRACE,Red Clay Consolidated,No,Detached,0.2,1946.0,1676.0,1100.0,576.0,3.0,1.0,1.0,Two,CapeCod,Main,No,WindowUnits,Oil,BaseboardHotWater,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,Stone",88.0,100.0,8712,0.2,1940
211900.0,19808,CRANSTON HEIGHTS,Red Clay Consolidated,No,Detached,0.14,1930.0,1550.0,1550.0,0.0,4.0,2.0,1.0,OneandaHalf,CapeCod,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,VinylSiding,0.0,0.0,6098,0.14,1930
200000.0,19808,WOODMILL,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1985.0,1125.0,1125.0,0.0,2.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",20.0,110.0,2178,0.05,1985
197900.0,19808,BIRCH POINTE,Red Clay Consolidated,No,Unit/Flat/Apartment,0.0,2008.0,0.0,0.0,0.0,2.0,2.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,No,No,"AluminumSiding,VinylSiding",0.0,0.0,0,0.0,2008
224900.0,19808,PEPPER RIDGE,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1976.0,1225.0,1225.0,0.0,3.0,2.0,1.0,Three,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,Brick,16.4,126.9,2178,0.05,1976
210000.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.07,1986.0,1685.0,1125.0,560.0,2.0,2.0,1.0,Three,Colonial,"Main,Upper1,Upper2",Yes,"CeilingFans,CentralAC,HeatPumps",Electric,"ForcedAir,HeatPumpElectricBackUp",Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",21.9,161.6,3049,0.07,1986
224900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1976.0,2279.0,1575.0,704.0,3.0,2.0,1.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,VinylSiding",16.1,124.0,2614,0.06,1976
214900.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1985.0,1150.0,1150.0,0.0,2.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,90ForcedAir,Electric,Public,PublicSewer,Yes,Yes,Block,20.0,135.9,2614,0.06,1985
210000.0,19808,WOODMILL,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1984.0,1150.0,1150.0,0.0,2.0,2.0,1.0,Two,Traditional,"Main,Upper1",Yes,CentralAC,Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,VinylSiding",20.0,116.9,2178,0.05,1984
212900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.09,1978.0,1829.0,1525.0,304.0,3.0,3.0,2.0,Two,Traditional,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",16.0,191.8,3920,0.09,1978
219000.0,19808,LINDEN HILL SQUARE,Red Clay Consolidated,Yes,End of Row/Townhouse,0.11,1981.0,2352.0,1825.0,527.0,3.0,2.0,1.0,Two,Tudor,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,No,"Brick,Stucco",16.0,181.8,4792,0.11,1981
210000.0,19808,LINDEN HILL SQUARE,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.04,1981.0,1575.0,1225.0,350.0,3.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,"PublicSeptic,PublicSewer",Yes,No,"Brick,Stucco",16.0,118.4,1742,0.04,1981
219900.0,19808,BERKSHIRE,Red Clay Consolidated,No,Interior Row/Townhouse,0.0,1990.0,0.0,0.0,0.0,3.0,3.0,3.0,Three,Contemporary,"Main,Upper1",Yes,CentralAC,NaturalGas,HotWater,Electric,Public,PublicSewer,No,Yes,"AluminumSiding,Brick,VinylSiding",0.0,0.0,0,0.0,1990
219900.0,19808,EASTBURN ACRES,Red Clay Consolidated,No,Detached,0.36,1981.0,1225.0,1225.0,0.0,4.0,2.0,2.0,OneandaHalf,CapeCod,"Main,Upper1",No,WindowUnits,Electric,BaseboardElectric,Electric,Public,PublicSeptic,No,Yes,"AluminumSiding,VinylSiding",49.6,149.5,15682,0.36,1981
209900.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1978.0,1927.0,1575.0,352.0,2.0,2.0,1.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",16.4,157.0,2178,0.05,1978
