Address,City,State,Zip_Code,County,MLSNumber,Sold_Price,Orig_List_Price,Days_on_Market,SettleDate,County,SubdivisionNeighborhood,SchoolDistrict,Acres,Ownership,Senior_Community_YN,Condo/Coop_Assoc_YN,HOA_YN,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,Bedrooms,Baths,BathsFull,PartialBaths,GarageSpaces,Design,Style,Garage_YN,Flooring,HotWater,Water,Sewer,Basement_YN,BasementType,ExteriorMaterial,Main Roof,Central_Air_YN,Cooling,PrimaryHeat,Pred_Orig_List_Price,Pred_Sold_Price,Predicted_DOM
2302 W 14th St,Wilmington,DE,19806,New Castle,DENC508522," $342,300.00 "," $358,000.00 ",75,12/29/2020,New Castle,Wilm #13,Red Clay Consolidated,0.09,FeeSimple,No,No,No,N/A,N/A,1925,1650,4,2,2,0,1,Three,"Colonial,Traditional",Yes,"Carpet,CeramicTile,Hardwood",NaturalGas,Public,PublicSewer,Yes,"Full,Unfinished",Brick,"Asphalt,Shingle",No,WindowUnits,NaturalGas," $377,705.00 ",360634.79,More than 2 months
1629 Brackenville Rd,Hockessin,DE,19707,New Castle,DENC2009560," $407,000.00 "," $499,900.00 ",118,4/28/2022,New Castle,Runnymeade,Red Clay Consolidated,0.66,FeeSimple,No,No,No,N/A,N/A,1970,2601,3,3,2,1,1,Three,SplitLevel,Yes,Hardwood,NaturalGas,Well,SepticExists,Yes,Full,Brick,Shingle,Yes,CentralAC,Electric," $462,081.99 ",436420,More than 2 months
905 Rockmoss Ave,Newark,DE,19711,New Castle,DENC498012," $295,000.00 "," $294,900.00 ",89,7/16/2020,New Castle,Cherry Hill,Christina,0.19,FeeSimple,No,No,No,N/A,N/A,1964,2680,4,2,2,0,0,Two,Rancher,No,"CeramicTile,Hardwood,Vinyl",60PlusGallonTank,Public,PublicSewer,Yes,Full,"Asbestos,Brick",Shingle,Yes,CentralAC,NaturalGas," $293,818.97 ",290487.73,More than 2 months
112 Brook Run,Hockessin,DE,19707,New Castle,DENC2015602," $545,000.00 "," $549,900.00 ",30,9/15/2017,New Castle,Vallebrook,Red Clay Consolidated,0.41,FeeSimple,No,No,Yes,$200 ,Annually,1990,2375,4,3,2,1,2,Two,Colonial,Yes,"FullyCarpeted,TileBrick,Wood",NaturalGas,Public,PublicSewer,Yes,"ConnectingStairway,Full,FullyFinished,OutsideEntrance","AluminumSiding,Stone,VinylSiding",Shingle,Yes,CentralAC,NaturalGas," $523,301.00 ",513503,Less than 2 months
2309 Katherine Ave,Wilmington,DE,19808,New Castle,DENC521912," $225,000.00 "," $225,000.00 ",6,4/21/2021,New Castle,Dunlinden Acres,Red Clay Consolidated,0.15,FeeSimple,No,No,No,N/A,N/A,1952,1250,3,2,2,0,0,One,Rancher,No,CeramicTile,Electric,Public,PublicSewer,No,N/A,Frame,Shingle,No,WindowUnits,Oil," $238,902.00 ",238306.75,Less than 2 months
351 Chickory Way,Newark,DE,19711,New Castle,DENC527434," $280,000.00 "," $264,900.00 ",5,7/8/2021,New Castle,Country Place,Christina,0.14,FeeSimple,No,No,Yes,$200 ,Annually,1989,1775,3,3,2,1,1,Two,Other,Yes,"FullyCarpeted,Vinyl",NaturalGas,Public,PrivateSewer,Yes,Full,"AluminumSiding,VinylSiding",Shingle,Yes,CentralAC,NaturalGas," $289,061.98 ",283749.5,Less than 2 months
316 Friedman Dr,New Castle,DE,19720,New Castle,DENC2017716," $540,000.00 "," $519,900.00 ",7,7/27/2022,New Castle,Northern View,Colonial,0.48,FeeSimple,No,No,Yes,$300 ,Annually,2013,2925,4,4,3,1,0,Two,Colonial,No,"FullyCarpeted,Vinyl,Wood",NaturalGas,Public,PublicSewer,Yes,PartiallyFinished,"AluminumSiding,VinylSiding",Shingle,Yes,CentralAC,NaturalGas," $538,229.00 ",534468,Less than 2 months
138 Donhaven Dr,New Castle,DE,19720,New Castle,DENC522074," $219,900.00 "," $229,900.00 ",18,5/4/2021,New Castle,Garfield Park,Colonial,0.14,FeeSimple,No,No,No,N/A,N/A,1952,1000,3,1,1,0,0,One,Rancher,No,"Carpet,Vinyl",NaturalGas,Public,PublicSewer,No,N/A,"AluminumSiding,VinylSiding",Shingle,Yes,CentralAC,NaturalGas," $224,353.72 ",227259.4,Less than 2 months
104 Nevada Ave,Wilmington,DE,19803,New Castle,DENC517932," $387,000.00 "," $360,000.00 ",4,1/19/2021,New Castle,Shipley Heights,Brandywine,0.41,FeeSimple,No,No,Yes,$50 ,Annually,1956,1760,3,2,2,0,2,One,Rancher,Yes,"Carpet,Vinyl",NaturalGas,Public,PrivateSewer,No,N/A,"Brick,Frame","Flat,Shingle",Yes,CentralAC,NaturalGas," $326,586.00 ",319523.75,Less than 2 months
135 Victoria Falls Ln,Wilmington,DE,19808,New Castle,DENC501302," $355,000.00 "," $359,000.00 ",25,9/1/2022,New Castle,Little Falls Vill,Red Clay Consolidated,0.08,FeeSimple,Yes,No,Yes,$125 ,Monthly,2002,1950,2,3,2,1,1,Two,Colonial,Yes,"Carpet,CeramicTile,Hardwood",NaturalGas,Public,PublicSewer,Yes,"Full,FullyFinished,OutsideEntrance,SumpPump","Brick,VinylSiding","Pitched,Shingle",Yes,CentralAC,NaturalGas," $358,476.00 ",361070,Less than 2 months
