,MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,OwnerOccupied,TotalLandAsmt,TotalBldgAsmt,PropertyClass,YearBuilt,Bedrooms,Baths,Basement_YN,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Condo/Coop_Assoc_YN,Central_Air_YN,HOA_YN,Age,Ownership,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets,Predicted_DOM
0,DENC518086,5.0,330000.0,12,2020,19808,Red Clay Consolidated,2151,0.26,Sherwood Park Ii,Mill Creek Hundred,119,True,12600,52600,Residential,1958.0,4.0,2.0,Yes,Yes,2099.0,0.0,No,Yes,Yes,1958.0,FeeSimple,Detached,2099.0,"Main,Upper1",Less than 2 months,Less than 2 months
1,DENC518982,47.0,215500.0,1,2021,19808,Red Clay Consolidated,1824,0.06,Pepper Ridge,Mill Creek Hundred,81,False,9900,45400,Residential,1976.0,3.0,2.0,Yes,No,1575.0,352.0,No,Yes,No,1976.0,FeeSimple,Interior Row/Townhouse,1927.0,"Main,Upper1",Less than 2 months,More than 2 months
2,DENC512992,15.0,200000.0,12,2020,19808,Red Clay Consolidated,1563,0.05,Woodmill,Mill Creek Hundred,363,False,9400,38000,Residential,1985.0,2.0,2.0,Yes,No,1150.0,0.0,No,Yes,No,1985.0,FeeSimple,Interior Row/Townhouse,1150.0,"Main,Upper1",Less than 2 months,Less than 2 months
3,DENC512104,11.0,219900.0,10,2020,19808,Red Clay Consolidated,2174,0.05,Fairway Falls,Mill Creek Hundred,376,True,8600,57300,Residential,1985.0,2.0,3.0,Yes,Yes,1425.0,0.0,No,Yes,Yes,1985.0,FeeSimple,Interior Row/Townhouse,1425.0,"Main,Upper1",Less than 2 months,More than 2 months
4,DENC503480,3.0,190000.0,6,2020,19808,Red Clay Consolidated,1349,0.17,Washington Hgts,Christiana Hundred,71,True,8600,32300,Residential,1957.0,3.0,2.0,Yes,No,925.0,0.0,No,Yes,No,1957.0,FeeSimple,Detached,925.0,Main,Less than 2 months,Less than 2 months
5,DENC501458,23.0,199000.0,5,2020,19808,Red Clay Consolidated,1240,0.07,Cranston Heights,Christiana Hundred,12,True,5000,32600,Residential,1932.0,3.0,2.0,Yes,Yes,1225.0,0.0,No,No,No,1932.0,FeeSimple,Detached,1225.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
6,DENC495076,1.0,229900.0,2,2020,19808,Red Clay Consolidated,2856,0.21,Cedarcrest,Mill Creek Hundred,202,False,11500,75100,Residential,1964.0,3.0,2.0,Yes,Yes,1550.0,0.0,No,Yes,No,1964.0,FeeSimple,Detached,1550.0,"Lower1,Main",Less than 2 months,Less than 2 months
7,DENC506356,5.0,195000.0,8,2020,19808,Red Clay Consolidated,1168,0.14,Washington Hgts,Christiana Hundred,50,True,8200,27200,Residential,1954.0,4.0,3.0,Yes,Yes,0.0,0.0,No,No,No,1954.0,FeeSimple,Detached,0.0,"Lower1,Main,Upper1",Less than 2 months,Less than 2 months
8,DENC524092,5.0,190000.0,4,2021,19808,Red Clay Consolidated,2200,0.0,Birch Pointe,Mill Creek Hundred,122.C.0113,True,10000,56700,Residential,1985.0,2.0,2.0,No,No,0.0,0.0,Yes,Yes,No,1985.0,Condominium,Penthouse Unit/Flat/Apartment,0.0,"Main,Upper1",Less than 2 months,Less than 2 months
9,DENC523094,1.0,199875.0,3,2021,19808,Red Clay Consolidated,1880,0.04,Pepper Ridge,Mill Creek Hundred,246,True,9100,47900,Residential,1976.0,2.0,3.0,Yes,No,1575.0,400.0,No,Yes,No,1979.0,FeeSimple,Interior Row/Townhouse,1975.0,"Lower1,Main,Upper1",Less than 2 months,More than 2 months
