MLSNumber,Orig_List_Price,Zip_Code,Subdivision,School_District,HOA_YN,Structure_Type,Acres,InteriorSqFt,AboveGradeSqFt,BelowGradeSqFt,Bedrooms,Baths,BathsFull,Design,Style,NumberofStories,Central_Air_YN,Cooling,PrimaryHeat,HeatDelivery,HotWater,Water,Sewer,Basement_YN,Garage_YN,ExteriorMaterial,LotFrontage,LotDepth,LotSqFt,LotAcres,YearBuilt,Sold_Price,Days_on_Market,PC1,PC2,PC3,Class
DENC518086,330000.0,19808,SHERWOOD PARK II,Red Clay Consolidated,Yes,Detached,0.26,2099.0,2099.0,0.0,4.0,2.0,1.0,Two,SplitLevel,"Main,Upper1",Yes,CentralAC,"Electric,NaturalGas",BaseboardElectric,NaturalGas,Public,PublicSewer,Yes,Yes,"BrickFront,VinylSiding",72.4,133.5,11326,0.26,1958,335000.0,5.0,1.281547237191336,0.4291621329637825,0.09334623829951394,0
DENC518982,215500.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.06,1927.0,1575.0,352.0,3.0,2.0,1.0,Two,Other,"Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,PublicSewer,Yes,No,"AluminumSiding,Brick,VinylSiding",16.2,126.2,2614,0.06,1976,200000.0,47.0,-2.212836430085776,1.4866681281563632,-1.272231638518793,3
DENC512992,200000.0,19808,WOODMILL,Red Clay Consolidated,No,Interior Row/Townhouse,0.05,1150.0,1150.0,0.0,2.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSeptic,Yes,No,VinylSiding,20.0,105.0,2178,0.05,1985,200000.0,15.0,-2.555155469558829,1.424658316591788,-1.9954690637812682,3
DENC512104,219900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1425.0,1425.0,0.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,Other,16.0,125.0,2178,0.05,1985,200000.0,11.0,-0.689101617656539,2.6470644940489834,-3.595703610050086,3
DENC506356,195000.0,19808,WASHINGTON HEIGHTS,Red Clay Consolidated,No,Detached,0.14,0.0,0.0,0.0,4.0,3.0,2.0,OneandaHalf,CapeCod,"Lower1,Main,Upper1",No,WindowUnits,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,Yes,"Concrete,Stucco",50.0,118.0,6098,0.14,1954,201000.0,5.0,-3.223374531166158,0.5637065027968619,4.568288466271703,2
DENC523094,199875.0,19808,PEPPER RIDGE,Red Clay Consolidated,No,Interior Row/Townhouse,0.04,1975.0,1575.0,400.0,2.0,3.0,2.0,Two,Colonial,"Lower1,Main,Upper1",Yes,CentralAC,Oil,ForcedAir,Electric,Public,NoSepticSystem,Yes,No,Brick,16.0,118.0,1742,0.04,1976,205000.0,1.0,-1.5344392733573038,1.3376423354429197,-0.87244589385505,3
DENC501750,214900.0,19808,FAIRWAY FALLS,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.06,1875.0,1609.0,266.0,2.0,3.0,2.0,Two,Contemporary,"Main,Upper1",Yes,"CentralAC,HeatPumps",Electric,HeatPumpElectricBackUp,Electric,Public,PublicSewer,Yes,No,VinylSiding,16.0,156.6,2614,0.06,1986,205000.0,47.0,-1.0446616506947213,2.929081036564541,-2.60764416946176,3
DENC505216,205900.0,19808,BROOKLAND TERRACE,Red Clay Consolidated,No,Detached,0.2,1676.0,1100.0,576.0,3.0,1.0,1.0,Two,CapeCod,Main,No,WindowUnits,Oil,BaseboardHotWater,NaturalGas,Public,PublicSewer,Yes,Yes,"AluminumSiding,Stone",88.0,100.0,8712,0.2,1940,205900.0,7.0,-2.6798542970789097,-0.14825910584576177,5.205400954267381,2
DENC500680,211900.0,19808,CRANSTON HEIGHTS,Red Clay Consolidated,No,Detached,0.14,1550.0,1550.0,0.0,4.0,2.0,1.0,OneandaHalf,CapeCod,"Main,Upper1",Yes,CentralAC,NaturalGas,ForcedAir,NaturalGas,Public,PublicSewer,Yes,No,VinylSiding,0.0,0.0,6098,0.14,1930,208000.0,8.0,-2.4518329941489196,-0.4596181188921209,-0.17618663614236277,1
DENC521992,200000.0,19808,WOODMILL,Red Clay Consolidated,Yes,Interior Row/Townhouse,0.05,1125.0,1125.0,0.0,2.0,2.0,1.0,Two,Colonial,"Main,Upper1",Yes,CentralAC,Electric,HeatPumps,Electric,Public,PublicSewer,Yes,Yes,"AluminumSiding,VinylSiding",20.0,110.0,2178,0.05,1985,208700.0,6.0,-1.4853501702793523,2.0603432044941754,-3.3171343614332973,3
