Zip_Code,Orig_List_Price,Pred_Orig_List_Price,Sold_Price,Pred_Sold_Price,Average_Diff_Orig_Price,Average_Diff_Sold_Price
19707,434042.9891,434512.7215,433419.1745,429190.6383,-469.7323879,4228.536291
19711,359394.5201,365734.0745,364365.3706,362193.2386,-6339.554405,2172.132028
19720,275412.5825,286382.2395,280407.1185,285786.572,-10969.657,-5379.453469
19732,580000,457743.61,541333.3333,475516.3333,122256.39,65817
19736,325000,308262.2,262500,270759,16737.8,-8259
19801,277116.125,279961.3703,271316.9479,275937.4754,-2845.245278,-4620.5275
19802,275578.6485,291996.6789,278018.1841,284432.6415,-16418.0304,-6414.45735
19803,396896.7943,395115.3828,396682.4495,393590.8947,1781.41146,3091.554781
19804,250353.4758,262391.6905,254941.6467,261974.7147,-12038.21472,-7033.067992
19805,254758.1487,263105.3385,257122.9498,262531.6385,-8347.189752,-5408.688669
19806,346723.5282,345367.5191,343392.081,339920.7762,1356.009096,3471.304755
19807,535367.9245,489039.4411,516774.5283,493167.0109,46328.4834,23607.51736
19808,327078.9005,332683.8596,328655.3068,329551.7175,-5604.95911,-896.410685
