MLS Number,address_new,lat,lng
DENC518086,"2615 Pecksniff  Wilmington, DE",39.73460840000001,-75.6614021
DENC518086,"2615 Pecksniff  Wilmington, DE",39.73460840000001,-75.6614021
DENC2018974,"2615 Pecksniff  Wilmington, DE",39.73460840000001,-75.6614021
DENC2018974,"2615 Pecksniff  Wilmington, DE",39.73460840000001,-75.6614021
DENC518982,"4938 S Tupelo  Wilmington, DE",39.744655,-75.5483909
DENC512992,"15 Kristina  Wilmington, DE",39.744655,-75.5483909
DENC512104,"3251 Champions  Wilmington, DE",39.7296645,-75.6986557
DENC503480,"3706 Lafayette  Wilmington, DE",39.7279652,-75.63415169999999
DENC501458,"3425 Cranston  Wilmington, DE",39.744655,-75.5483909
DENC495076,"2409 E Parris  Wilmington, DE",39.7326034,-75.64906160000001
DENC495076,"2409 E Parris  Wilmington, DE",39.7326034,-75.64906160000001
DENC528580,"2409 E Parris  Wilmington, DE",39.7326034,-75.64906160000001
DENC528580,"2409 E Parris  Wilmington, DE",39.7326034,-75.64906160000001
DENC506356,"1802 Fenpor  Wilmington, DE",39.72657270000001,-75.6340608
DENC524092,"4309 Birch Apt 113 Wilmington, DE",39.744655,-75.5483909
DENC523094,"5822 Pepper Ridge  Wilmington, DE",39.735777,-75.705209
DENC501750,"3220 Champions  Wilmington, DE",39.729643,-75.7000599
DENC505216,"424 Centerville  Wilmington, DE",39.742175,-75.623241
DENC500680,"3420 Cranston  Wilmington, DE",39.744655,-75.5483909
DENC521992,"3 Carolina  Wilmington, DE",39.7180724,-75.6716055
DENC523212,"3411 Haley Apt 90 Wilmington, DE",39.744655,-75.5483909
DENC512816,"4940 Mermaid  Wilmington, DE",39.744655,-75.5483909
DENC510414,"1108 Braken Ave Apt 5 Wilmington, DE",39.74830619999999,-75.6962301
DENC517606,"5099 W Woodmill  Wilmington, DE",39.7184176,-75.67246899999999
DENC508042,"4936 Tupelo  Wilmington, DE",39.744655,-75.5483909
DENC500644,"5059 E Woodmill  Wilmington, DE",39.7197656,-75.6689808
DENC522324,"5018 E Woodmill  Wilmington, DE",39.7203573,-75.6669356
DENC519198,"4976 Mermaid  Wilmington, DE",39.744655,-75.5483909
DENC507636,"5417 Jenmatt  Wilmington, DE",39.7283644,-75.6946145
DENC509542,"5409 Jenmatt  Wilmington, DE",39.728454,-75.6949549
DENC505724,"3010 Charing Cross Apt 26 Wilmington, DE",39.7477981,-75.6961944
DENC505084,"2004 Louisa  Wilmington, DE",39.7078003,-75.6768773
DENC523372,"5026 N Tupelo  Wilmington, DE",39.744655,-75.5483909
DENC520810,"11 Kristina  Wilmington, DE",39.7194428,-75.66806050000001
DENC509390,"1902 Lincoln Ave.  Marshallton, DE",39.7335288,-75.6313332
DENC499486,"1118 Braken Apt 10 Wilmington, DE",39.7483559,-75.6959634
DENC499486,"1118 Braken Apt 10 Wilmington, DE",39.7483559,-75.6959634
DENC527522,"1118 Braken Apt 10 Wilmington, DE",39.7483559,-75.6959634
DENC527522,"1118 Braken Apt 10 Wilmington, DE",39.7483559,-75.6959634
DENC511264,"3221 Brookline  Wilmington, DE",39.7297514,-75.6978226
DENC502798,"1114 Braken Apt 8 Wilmington, DE",39.7482933,-75.696085
DENC521912,"2309 Katherine  Wilmington, DE",39.7339214,-75.6422887
DENC507666,"1223 Gilbert  Wilmington, DE",39.729066,-75.6441524
DENC503534,"5405 Doral  Wilmington, DE",39.732895,-75.698261
DENC501980,"4613 Springers  Wilmington, DE",39.7246916,-75.6642882
DENC501462,"2006 Duncan  Wilmington, DE",39.7303468,-75.63716339999999
DENC507686,"3818 Evelyn  Wilmington, DE",39.7359286,-75.6456979
DENC508130,"1522 Braken Apt 116 Wilmington, DE",39.7466253,-75.6956908
DENC507822,"3813 Evelyn  Wilmington, DE",39.7362979,-75.6442433
