MLSNumber,Days_on_Market,Orig_List_Price,Month,Year,Zip_Code,SchoolDistrict,AnnualTax,LotAcres,SubdivisionNeighborhood,Municipality,Lot,TotalLandAsmt,TotalBldgAsmt,YearBuilt,Bedrooms,Baths,Garage_YN,AboveGradeSqFt,BelowGradeSqFt,Age,Structure_Type,InteriorSqFt,NumberofStories,DaysOnMarket_Buckets
DENC518086,5.0,330000.0,12,2020,13,4,2151,0.26,445,4,242,12600,52600,83,4.0,2.0,2,2099.0,0.0,1958.0,1,2099.0,27,1
DENC518982,47.0,215500.0,1,2021,13,4,1824,0.06,385,4,764,9900,45400,101,3.0,2.0,1,1575.0,352.0,1976.0,4,1927.0,27,1
DENC512992,15.0,200000.0,12,2020,13,4,1563,0.05,600,4,540,9400,38000,110,2.0,2.0,1,1150.0,0.0,1985.0,4,1150.0,27,1
DENC512104,11.0,219900.0,10,2020,13,4,2174,0.05,184,4,554,8600,57300,110,2.0,3.0,2,1425.0,0.0,1985.0,4,1425.0,27,1
DENC503480,3.0,190000.0,6,2020,13,4,1349,0.17,526,2,752,8600,32300,82,3.0,2.0,1,925.0,0.0,1957.0,1,925.0,26,1
DENC501458,23.0,199000.0,5,2020,13,4,1240,0.07,138,2,243,5000,32600,57,3.0,2.0,2,1225.0,0.0,1932.0,1,1225.0,12,1
DENC495076,1.0,229900.0,2,2020,13,4,2856,0.21,96,4,359,11500,75100,89,3.0,2.0,2,1550.0,0.0,1964.0,1,1550.0,11,1
DENC506356,5.0,195000.0,8,2020,13,4,1168,0.14,526,2,668,8200,27200,79,4.0,3.0,2,0.0,0.0,1954.0,1,0.0,12,1
DENC524092,5.0,190000.0,4,2021,13,4,2200,0.0,43,4,248,10000,56700,110,2.0,2.0,1,0.0,0.0,1985.0,7,0.0,27,1
DENC523094,1.0,199875.0,3,2021,13,4,1880,0.04,385,4,408,9100,47900,101,2.0,3.0,1,1575.0,400.0,1979.0,4,1975.0,12,1
DENC501750,47.0,214900.0,5,2020,13,4,2302,0.06,184,4,559,9300,60500,111,2.0,3.0,1,1609.0,266.0,1986.0,4,1875.0,27,1
DENC505216,7.0,205900.0,7,2020,13,4,1349,0.2,73,2,588,7600,33300,65,3.0,1.0,2,1100.0,576.0,1946.0,1,1676.0,26,1
DENC500680,8.0,211900.0,5,2020,13,4,1204,0.14,138,2,742,7000,29500,55,4.0,2.0,1,1550.0,0.0,1930.0,1,1550.0,27,1
DENC521992,6.0,200000.0,3,2021,13,4,1725,0.05,600,4,442,9400,42900,110,2.0,2.0,2,1125.0,0.0,1985.0,4,1125.0,27,1
DENC523212,7.0,197900.0,3,2021,13,4,2164,0.0,43,4,87,9800,55800,133,2.0,2.0,1,0.0,0.0,2008.0,9,0.0,27,1
DENC512816,44.0,224900.0,11,2020,13,4,1873,0.05,385,4,368,9300,47500,101,3.0,2.0,1,1225.0,0.0,1976.0,4,1225.0,12,1
DENC510414,28.0,214900.0,10,2020,13,4,3575,0.0,40,4,122,16100,92300,115,3.0,3.0,2,2580.0,0.0,1990.0,4,2580.0,11,1
DENC517606,12.0,210000.0,12,2020,13,4,1821,0.07,600,4,388,10200,45000,111,2.0,2.0,2,1125.0,560.0,1986.0,4,1685.0,28,1
DENC508042,64.0,224900.0,8,2020,13,4,1824,0.06,385,4,765,9900,45400,101,3.0,2.0,1,1575.0,704.0,1976.0,4,2279.0,27,2
DENC500644,4.0,214900.0,5,2020,13,4,1633,0.06,600,4,687,10000,39500,110,2.0,2.0,2,1150.0,0.0,1985.0,4,1150.0,27,1
DENC522324,7.0,210000.0,3,2021,13,4,1563,0.05,600,4,517,9400,38000,109,2.0,2.0,1,1150.0,0.0,1984.0,4,1150.0,27,1
DENC519198,3.0,212900.0,1,2021,13,4,1936,0.09,385,4,343,10100,48600,103,3.0,3.0,1,1525.0,304.0,1978.0,4,1829.0,12,1
DENC507636,4.0,219000.0,8,2020,13,4,2118,0.11,286,4,683,10300,53900,106,3.0,2.0,1,1825.0,527.0,1981.0,2,2352.0,27,1
DENC509542,3.0,210000.0,10,2020,13,4,1906,0.04,286,4,652,8500,49300,106,3.0,2.0,1,1225.0,350.0,1981.0,4,1575.0,12,1
DENC505724,26.0,219900.0,7,2020,13,4,3615,0.0,40,4,129,16400,93200,115,3.0,3.0,2,0.0,0.0,1990.0,4,0.0,27,1
DENC505084,29.0,219900.0,7,2020,13,4,2553,0.36,164,4,321,10400,67000,106,4.0,2.0,2,1225.0,0.0,1981.0,1,1225.0,27,1
DENC523372,6.0,209900.0,3,2021,13,4,1956,0.05,385,4,701,9700,49600,103,2.0,2.0,1,1575.0,352.0,1978.0,4,1927.0,12,1
DENC520810,7.0,220000.0,2,2021,13,4,1807,0.08,600,4,542,10400,44400,110,3.0,4.0,1,1350.0,0.0,1985.0,2,1350.0,6,1
DENC499486,13.0,230000.0,4,2020,13,4,3836,0.0,40,4,124,17300,99000,115,3.0,2.0,2,0.0,0.0,1990.0,2,0.0,27,1
